Catalyst ID,Composition,Synthesis Method,Surface Area (m2/g),Pore Volume (cm3/g),Active Sites Density (sites/nm2),Reaction Temperature (°C),Pressure (bar),Time (h),Product Selectivity (%),Conversion (%),Performance
CAT-001,UiO-66(Zr),Solvothermal,1250.5,1.55,8.2,180,15,5,93.5,95.2,Excellent
CAT-002,Pt/TiO2,Impregnation,250.8,0.35,3.1,350,5,12,75.1,68.1,Average
CAT-003,ZIF-8,Hydrothermal,1890.3,2.20,10.5,150,10,8,89.0,85.5,Good
CAT-004,Ni/Al2O3,Co-precipitation,150.7,0.25,2.5,420,50,20,55.0,45.9,Poor
CAT-005,MOF-5,Solvothermal,2100.9,2.85,12.1,200,20,6,96.8,91.0,Excellent
CAT-006,Pd/CNT,Impregnation,850.1,1.1,6.5,300,10,15,80.5,78.9,Good
CAT-007,Cu-BTC,Solvothermal,1500.0,1.8,9.0,160,25,4,90.1,92.5,Excellent
CAT-008,Fe3O4/C,Precipitation,120.3,0.15,1.8,500,70,24,35.7,30.2,Poor
CAT-009,Co/g-C3N4,Thermal decomposition,450.9,0.5,4.5,280,30,10,65.8,70.1,Good
CAT-010,HKUST-1,Solvothermal,1950.7,2.5,11.2,175,18,7,94.0,96.1,Excellent
CAT-011,Ru/Al2O3,Impregnation,320.6,0.4,3.8,400,60,18,72.3,60.5,Average
CAT-012,Pt/C,Wet chemical,1100.2,1.3,7.9,100,5,3,98.1,99.5,Excellent
CAT-013,Zn-MOF-74,Solvothermal,1700.1,2.0,10.1,220,12,9,88.2,84.7,Good
CAT-014,V2O5/TiO2,Impregnation,60.5,0.1,1.1,450,100,22,25.9,15.8,Poor
CAT-015,Ag/ZnO,Hydrothermal,950.4,1.2,7.0,250,40,14,79.5,82.0,Good
CAT-016,MOF-808(Zr),Solvothermal,1650.0,1.9,9.5,190,16,6,91.2,93.4,Excellent
CAT-017,NiO/CeO2,Precipitation,180.2,0.22,2.8,380,55,16,61.4,55.0,Average
CAT-018,Rh/SiO2,Impregnation,550.6,0.7,5.0,320,20,11,77.0,75.5,Good
CAT-019,IRMOF-3,Solvothermal,1400.8,1.7,8.8,210,14,7,86.0,88.8,Good
CAT-020,MnO2/C,Hydrothermal,700.3,0.9,6.0,270,35,13,69.5,72.4,Good
CAT-021,MOF-525(Zr),Solvothermal,1750.4,2.1,10.8,185,17,5,92.8,94.9,Excellent
CAT-022,Au/Fe2O3,Impregnation,90.1,0.12,1.5,480,90,21,28.4,20.1,Poor
CAT-023,ZIF-67,Hydrothermal,1600.9,1.85,9.8,205,13,8,89.9,91.8,Excellent
CAT-024,W/ZrO2,Wet chemical,280.5,0.3,3.5,410,65,19,58.7,48.2,Poor
CAT-025,Cr-MIL-101,Solvothermal,2800.0,3.5,14.5,150,10,3,97.0,98.5,Excellent
CAT-026,CoFe2O4,Hydrothermal,110.4,0.14,1.7,470,85,23,32.1,25.6,Poor
CAT-027,Pd/TiO2,Impregnation,380.7,0.45,4.2,330,22,10,74.5,77.9,Good
